customer_id,customer_name,customer_segment,region_id,contract_type,start_date,status,annual_contract_value
158,Titan Industrial NorthWest 0158,Industrial,1,Performance Contract,2019-11-27,Active,589012.73
159,Casa Residential Central 0159,Residential,3,On-Demand Support,2019-06-13,Active,22909.86
160,Community Public NorthEast 0160,Public Sector,2,Managed Services,2021-03-30,Active,210915.74
161,Bright Residential NorthEast 0161,Residential,2,On-Demand Support,2023-12-07,Active,24223.68
162,Helios Industrial NorthEast 0162,Industrial,2,On-Demand Support,2022-06-06,Lost,514539.81
163,Family Residential South 0163,Residential,4,On-Demand Support,2023-03-31,Active,25970.62
164,Prime Commercial NorthWest 0164,Commercial,1,Performance Contract,2023-07-07,Lost,120123.34
165,Forge Industrial NorthWest 0165,Industrial,1,Preventive Care,2023-11-25,Active,552891.65
166,Bright Residential NorthEast 0166,Residential,2,Preventive Care,2024-06-02,Active,19231.92
167,Bright Residential Islands 0167,Residential,5,Managed Services,2022-05-02,Lost,12876.05
168,Bright Residential NorthWest 0168,Residential,1,Preventive Care,2025-03-12,Active,28254.87
169,Regional Public Central 0169,Public Sector,3,On-Demand Support,2019-09-28,Active,325464.53
170,Orion Commercial Islands 0170,Commercial,5,Performance Contract,2019-09-01,Active,135884.53
171,Easy Residential NorthEast 0171,Residential,2,On-Demand Support,2021-10-06,Active,36293.38
172,Civic Public South 0172,Public Sector,4,On-Demand Support,2021-04-02,Lost,119965.67
173,Forge Industrial Central 0173,Industrial,3,Managed Services,2024-12-15,Active,192821.31
174,Bright Residential Central 0174,Residential,3,Preventive Care,2024-06-03,Lost,17063.87
175,Titan Industrial South 0175,Industrial,4,Performance Contract,2021-04-16,Active,459670.3
176,Regional Public South 0176,Public Sector,4,Performance Contract,2024-04-07,Active,178389.33
177,Forge Industrial NorthWest 0177,Industrial,1,Managed Services,2023-11-23,Lost,268995.34
178,Prime Commercial Central 0178,Commercial,3,Performance Contract,2025-12-07,Suspended,193081.08
179,Orion Commercial NorthWest 0179,Commercial,1,Performance Contract,2024-03-22,Active,190553.07
180,Vector Industrial South 0180,Industrial,4,Managed Services,2022-11-09,Active,421730.26
181,Community Public NorthEast 0181,Public Sector,2,Preventive Care,2024-04-13,Active,227906.41
182,Prime Commercial NorthEast 0182,Commercial,2,Preventive Care,2020-11-23,Active,101606.86
183,Casa Residential Islands 0183,Residential,5,Preventive Care,2024-10-23,Active,35385.47
184,Vector Industrial NorthWest 0184,Industrial,1,Performance Contract,2022-05-02,Active,349826.24
185,Vector Industrial NorthWest 0185,Industrial,1,Performance Contract,2023-07-24,Active,341842.85
186,Vector Industrial NorthEast 0186,Industrial,2,Managed Services,2025-01-08,Active,353477.47
187,Home Residential South 0187,Residential,4,Performance Contract,2022-03-21,Active,16544.12
188,Green Residential South 0188,Residential,4,On-Demand Support,2023-05-04,Suspended,22591.7
189,Green Residential NorthEast 0189,Residential,2,On-Demand Support,2024-08-11,Active,35797.04
190,Home Residential NorthEast 0190,Residential,2,Preventive Care,2025-11-07,Active,26013.95
191,Atlas Industrial NorthEast 0191,Industrial,2,Managed Services,2023-01-16,Active,532108.04
192,Metro Public NorthEast 0192,Public Sector,2,On-Demand Support,2021-07-06,Active,285317.17
193,Urban Commercial NorthEast 0193,Commercial,2,Performance Contract,2021-08-03,Active,170967.28
194,Vector Industrial NorthEast 0194,Industrial,2,Managed Services,2021-03-31,Active,478448.53
195,Home Residential Central 0195,Residential,3,Preventive Care,2019-09-25,Suspended,33876.48
196,Vista Commercial Islands 0196,Commercial,5,On-Demand Support,2023-09-07,Active,148393.32
197,Public Public Central 0197,Public Sector,3,Managed Services,2020-09-04,Active,255324.76
198,Community Public NorthWest 0198,Public Sector,1,Performance Contract,2022-06-23,Active,289711.57
199,Mercury Industrial NorthWest 0199,Industrial,1,Preventive Care,2020-09-07,Active,443191.21
200,Vista Commercial South 0200,Commercial,4,Preventive Care,2025-10-04,Active,189720.86
201,Public Public South 0201,Public Sector,4,Performance Contract,2025-05-16,Active,288456.23
202,Vector Industrial NorthEast 0202,Industrial,2,Preventive Care,2021-12-22,Active,519731.64
203,Helios Industrial South 0203,Industrial,4,Performance Contract,2023-01-22,Active,389238.14
204,Prime Commercial NorthEast 0204,Commercial,2,Managed Services,2020-02-22,Active,152743.83
205,Mercury Industrial NorthWest 0205,Industrial,1,Managed Services,2020-07-28,Suspended,267081.71
206,Urban Commercial NorthWest 0206,Commercial,1,On-Demand Support,2024-08-30,Active,179010.83
207,Prime Commercial NorthWest 0207,Commercial,1,On-Demand Support,2020-06-04,Active,230663.16
208,Forge Industrial Islands 0208,Industrial,5,On-Demand Support,2023-12-10,Active,472673.76
209,Atlas Industrial South 0209,Industrial,4,Performance Contract,2023-12-16,Active,530284.13
210,Casa Residential NorthWest 0210,Residential,1,Preventive Care,2021-10-12,Active,21729.73
211,Home Residential NorthWest 0211,Residential,1,On-Demand Support,2021-07-14,Suspended,36795.38
212,Public Public South 0212,Public Sector,4,Performance Contract,2025-08-09,Suspended,243916.27
213,Orion Commercial NorthEast 0213,Commercial,2,Performance Contract,2024-01-25,Active,146231.36
214,Family Residential NorthEast 0214,Residential,2,On-Demand Support,2019-07-18,Active,13397.92
215,Vista Commercial Islands 0215,Commercial,5,Performance Contract,2022-12-10,Suspended,164266.42
216,Titan Industrial NorthWest 0216,Industrial,1,Performance Contract,2019-05-06,Active,590280.15
217,Family Residential NorthWest 0217,Residential,1,On-Demand Support,2019-10-14,Suspended,35065.98
218,Family Residential NorthEast 0218,Residential,2,Preventive Care,2019-08-20,Active,34699.37
219,Metro Public NorthEast 0219,Public Sector,2,Performance Contract,2024-05-16,Active,214740.77
220,Titan Industrial Islands 0220,Industrial,5,Managed Services,2024-01-20,Active,379633.05
221,Bright Residential NorthEast 0221,Residential,2,On-Demand Support,2025-10-24,Active,27746.84
222,Summit Commercial NorthWest 0222,Commercial,1,Managed Services,2019-06-20,Active,239252.12
223,Titan Industrial NorthEast 0223,Industrial,2,Preventive Care,2025-04-28,Active,456045.53
224,Central Public South 0224,Public Sector,4,Performance Contract,2021-12-30,Active,227855.72
225,Prime Commercial NorthEast 0225,Commercial,2,On-Demand Support,2022-06-06,Active,156579.65
226,Mercury Industrial South 0226,Industrial,4,Managed Services,2022-03-21,Active,428206.7
227,Titan Industrial NorthWest 0227,Industrial,1,On-Demand Support,2021-10-07,Active,332340.65
228,Green Residential South 0228,Residential,4,On-Demand Support,2021-01-14,Active,19005.06
229,Forge Industrial NorthWest 0229,Industrial,1,Managed Services,2024-10-21,Active,319464.54
230,Easy Residential NorthEast 0230,Residential,2,On-Demand Support,2023-12-08,Active,36087.74
231,Orion Commercial NorthWest 0231,Commercial,1,Managed Services,2024-01-13,Active,162843.01
232,Atlas Industrial NorthEast 0232,Industrial,2,Managed Services,2020-09-08,Active,402955.25
233,Central Public NorthWest 0233,Public Sector,1,On-Demand Support,2019-03-02,Active,235178.48
234,Home Residential Central 0234,Residential,3,On-Demand Support,2025-01-26,Active,36065.73
235,Summit Commercial NorthWest 0235,Commercial,1,Performance Contract,2024-05-06,Active,156993.39
236,Mercury Industrial NorthWest 0236,Industrial,1,Preventive Care,2022-11-12,Suspended,529467.98
237,Prime Commercial NorthEast 0237,Commercial,2,Managed Services,2025-12-18,Suspended,144463.36
238,Mercury Industrial NorthWest 0238,Industrial,1,Managed Services,2022-11-25,Active,615424.74
239,Forge Industrial Central 0239,Industrial,3,Managed Services,2025-06-13,Active,520061.3
240,Green Residential Central 0240,Residential,3,Preventive Care,2025-05-24,Suspended,20207.13
241,Vector Industrial NorthEast 0241,Industrial,2,Preventive Care,2024-03-01,Active,494696.12
242,Harbor Commercial NorthWest 0242,Commercial,1,On-Demand Support,2024-11-05,Active,100184.86
243,Vector Industrial South 0243,Industrial,4,Performance Contract,2020-08-27,Active,462580.74
244,Summit Commercial NorthEast 0244,Commercial,2,On-Demand Support,2020-04-27,Active,169277.8
245,Vista Commercial NorthEast 0245,Commercial,2,On-Demand Support,2019-08-11,Active,130513.47
246,Helios Industrial NorthEast 0246,Industrial,2,Managed Services,2024-04-13,Active,409184.42
247,Casa Residential Islands 0247,Residential,5,Preventive Care,2020-12-05,Active,20893.08
248,Forge Industrial NorthEast 0248,Industrial,2,Preventive Care,2019-12-12,Active,392708.71
249,Home Residential Central 0249,Residential,3,Preventive Care,2019-07-05,Lost,36341.05
250,Orion Commercial South 0250,Commercial,4,Preventive Care,2020-08-05,Active,173499.75
251,Easy Residential Islands 0251,Residential,5,Preventive Care,2025-11-22,Active,34869.69
252,Harbor Commercial South 0252,Commercial,4,Managed Services,2024-03-19,Active,123280.74
253,Orion Commercial Central 0253,Commercial,3,Preventive Care,2024-06-02,Active,210303.13
254,Mercury Industrial Central 0254,Industrial,3,Preventive Care,2024-02-27,Active,600407.89
255,Summit Commercial Islands 0255,Commercial,5,Preventive Care,2023-03-08,Suspended,116705.94
256,Easy Residential NorthEast 0256,Residential,2,Preventive Care,2021-11-20,Lost,33951.14
257,Orion Commercial NorthEast 0257,Commercial,2,Preventive Care,2022-03-10,Active,191710.61
258,Urban Commercial Central 0258,Commercial,3,Managed Services,2020-07-16,Lost,102405.66
259,Vector Industrial Islands 0259,Industrial,5,Preventive Care,2024-02-22,Lost,275997.7
260,Casa Residential Central 0260,Residential,3,Preventive Care,2025-03-14,Active,22191.08
261,Community Public South 0261,Public Sector,4,Preventive Care,2019-11-11,Active,213837.96
262,Home Residential NorthWest 0262,Residential,1,On-Demand Support,2022-02-23,Active,26453.36
263,Home Residential Islands 0263,Residential,5,On-Demand Support,2021-01-14,Active,22259.94
264,Helios Industrial NorthWest 0264,Industrial,1,On-Demand Support,2020-06-25,Active,289372.44
265,Easy Residential Central 0265,Residential,3,On-Demand Support,2022-01-30,Active,39363.4
266,Prime Commercial NorthEast 0266,Commercial,2,Performance Contract,2022-08-28,Active,120358.05
267,Forge Industrial NorthWest 0267,Industrial,1,Preventive Care,2023-07-10,Active,396941.24
268,Harbor Commercial South 0268,Commercial,4,Managed Services,2024-12-29,Suspended,143196.72
269,Orion Commercial NorthEast 0269,Commercial,2,Preventive Care,2025-06-22,Active,166117.05
270,Civic Public Central 0270,Public Sector,3,Managed Services,2019-12-12,Active,220541.49
271,Urban Commercial NorthWest 0271,Commercial,1,Preventive Care,2019-04-05,Lost,112781.01
272,Harbor Commercial NorthEast 0272,Commercial,2,On-Demand Support,2024-04-28,Active,155381.31
273,Mercury Industrial South 0273,Industrial,4,Performance Contract,2022-11-26,Suspended,351698.07
274,Atlas Industrial NorthEast 0274,Industrial,2,Managed Services,2022-04-12,Active,284512.93
275,Family Residential South 0275,Residential,4,Managed Services,2019-09-27,Active,28215.39
276,Prime Commercial Central 0276,Commercial,3,Preventive Care,2025-08-03,Active,151303.6
277,Metro Public Islands 0277,Public Sector,5,Preventive Care,2024-01-30,Suspended,207340.46
278,Harbor Commercial NorthWest 0278,Commercial,1,On-Demand Support,2021-01-03,Active,244117.83
279,Casa Residential South 0279,Residential,4,Preventive Care,2025-07-28,Lost,20991.52
280,Bright Residential Islands 0280,Residential,5,On-Demand Support,2022-01-29,Active,20768.7
281,Prime Commercial Central 0281,Commercial,3,Preventive Care,2024-08-27,Active,150923.97
282,Helios Industrial NorthWest 0282,Industrial,1,Preventive Care,2021-05-02,Active,430159.0
283,Forge Industrial Central 0283,Industrial,3,Managed Services,2025-03-30,Active,328775.6
284,Harbor Commercial NorthWest 0284,Commercial,1,Managed Services,2020-12-04,Active,206784.46
285,Summit Commercial NorthEast 0285,Commercial,2,Managed Services,2022-11-02,Lost,131998.57
286,Titan Industrial Central 0286,Industrial,3,Managed Services,2020-04-01,Active,468984.0
287,Civic Public Islands 0287,Public Sector,5,Performance Contract,2024-03-08,Active,199410.24
288,Community Public NorthEast 0288,Public Sector,2,Managed Services,2020-07-27,Active,215216.75
289,Family Residential South 0289,Residential,4,On-Demand Support,2023-05-07,Active,16351.65
290,Helios Industrial NorthWest 0290,Industrial,1,Performance Contract,2023-03-23,Active,421386.43
291,Orion Commercial Islands 0291,Commercial,5,On-Demand Support,2022-07-26,Suspended,75902.2
292,Casa Residential Islands 0292,Residential,5,On-Demand Support,2019-01-31,Active,26594.37
293,Civic Public Central 0293,Public Sector,3,Performance Contract,2023-08-22,Active,233831.61
294,Casa Residential South 0294,Residential,4,On-Demand Support,2024-03-06,Active,27013.28
295,Orion Commercial South 0295,Commercial,4,Managed Services,2023-02-25,Active,121022.92
296,Bright Residential NorthWest 0296,Residential,1,Preventive Care,2025-08-07,Active,39706.22
297,Orion Commercial Islands 0297,Commercial,5,Preventive Care,2022-02-26,Active,207437.32
298,Atlas Industrial NorthEast 0298,Industrial,2,Performance Contract,2019-08-15,Active,488483.43
299,Central Public South 0299,Public Sector,4,Preventive Care,2020-04-30,Suspended,188551.04
300,Vector Industrial NorthEast 0300,Industrial,2,Managed Services,2019-10-24,Active,467475.86
301,Harbor Commercial NorthWest 0301,Commercial,1,Performance Contract,2021-12-24,Active,167861.91
302,Public Public NorthEast 0302,Public Sector,2,Managed Services,2019-03-23,Active,137555.81
303,Bright Residential NorthEast 0303,Residential,2,Preventive Care,2020-01-06,Active,28818.71
304,Harbor Commercial NorthEast 0304,Commercial,2,Managed Services,2019-02-25,Suspended,152538.48
305,Urban Commercial South 0305,Commercial,4,Preventive Care,2024-02-28,Suspended,154835.56
306,Atlas Industrial Central 0306,Industrial,3,Managed Services,2019-04-19,Active,630228.8
307,Vista Commercial South 0307,Commercial,4,Performance Contract,2019-02-17,Active,212856.87
308,Summit Commercial Islands 0308,Commercial,5,Performance Contract,2019-12-01,Active,97281.74
309,Casa Residential Central 0309,Residential,3,Preventive Care,2019-11-26,Lost,23062.15
